,listing_id,name,host_id,host_name,neighbourhood_group,room_type,price,number_of_reviews,last_review,reviews_per_month,availability_365,rating,number_of_stays,5_stars,listing_added,latitude,longitude
0,13740704,"Cozy,budget friendly, cable inc, private entrance!",20583125,Michel,"Brooklyn, Flatlands",Private room,45$,10,12/12/2018,0.7,85,4.100953569,12,0.609431505,6/8/2018,40.63222,-73.93398
1,22005115,Two floor apartment near Central Park,82746113,Cecilia,"Manhattan, Upper West Side",Entire home/apt,135$,1,6/30/2019,1,145,3.367599841,1.2,0.74613459,12/25/2018,40.78761,-73.96862
2,21667615,Beautiful 1BR in Brooklyn Heights,78251,Leslie,"Brooklyn, Brooklyn Heights",Entire home/apt,150$,0,,,65,,,,8/15/2018,40.7007,-73.99517
3,6425850,"Spacious, charming studio",32715865,Yelena,"Manhattan, Upper West Side",Entire home/apt,86$,5,9/23/2017,0.13,0,4.763202994,6,0.769947078,3/20/2017,40.79169,-73.97498
4,22986519,Bedroom on the lively Lower East Side,154262349,Brooke,"Manhattan, Lower East Side",Private room,160$,23,6/12/2019,2.29,102,3.822590628,27.6,0.649383069,10/23/2020,40.71884,-73.98354
5,271954,Beautiful brownstone apartment,1423798,Aj,"Manhattan, Greenwich Village",Entire home/apt,150$,203,6/20/2019,2.22,300,4.478396485,243.6,0.743499699,12/15/2018,40.73388,-73.99452
6,33473567,Hamilton Heights Full Floor Garden Apt,33388853,Christine,"Manhattan, Harlem",Entire home/apt,200$,0,,,219,,,,5/5/2018,40.8309,-73.94308
7,14218742,Luxury/3bedroom/3bthrm/Privateprkng/beach/rstrnts,78824908,Ilona,"Brooklyn, Sheepshead Bay",Entire home/apt,224$,2,6/22/2018,0.08,353,4.091228408,2.4,0.690393314,12/17/2017,40.58531,-73.93811
8,15125599,Beautiful One Bedroom Apartment Near Central Park,3191545,Kyle,"Manhattan, Theater District",Entire home/apt,169$,5,6/25/2017,0.15,365,3.562946679,6,0.704537987,12/20/2016,40.761,-73.98522
9,24553891,Enjoy all of Manhattan. Big Apple! A Mini-MOMA!,68557372,Shannon,"Manhattan, Harlem",Entire home/apt,75$,8,4/24/2019,0.66,9,4.695768786,9.6,0.750073416,10/19/2018,40.80667,-73.95182
10,26386759,Cozy and extremely well located Bushwick room,86892036,Michael,"Brooklyn, Bushwick",Private room,50$,5,7/29/2018,0.41,0,3.260108207,6,0.695174185,1/23/2018,40.70103,-73.91901
11,34446664,Home away from home,260038086,Kimberly,"Queens, Laurelton",Entire home/apt,254$,2,6/3/2019,1.46,24,3.750804247,2.4,0.773228862,11/28/2018,40.6688,-73.74384
12,18048473,#3 Private  Quadruple  Room  20mnts from Manhattan,42093468,Tsotne (Tut),"Bronx, Mott Haven",Private room,41$,21,6/20/2019,0.78,334,4.31545483,25.2,0.637313278,12/15/2018,40.81217,-73.91777
13,6336480,Available in August only. One room with twin bed.,12459436,Zena,"Queens, Flushing",Private room,49$,0,,,27,,,,6/1/2018,40.73627,-73.81305
14,20572019,Brooklyn home available,145219249,Dovber,"Brooklyn, Crown Heights",Entire home/apt,350$,0,,,0,,,,7/20/2018,40.66592,-73.94266
15,35831474,"Large Apt with Patio, walking to Times Square!!!!!",79008205,Josh,"Manhattan, Midtown",Entire home/apt,165$,0,,,330,,,,10/14/2018,40.75225,-73.97107
